clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
62,rural,Kampong Cham,0.3828648,0.03434368,0.31040597,0.45532364,0.30321285,0.06041178,0.17575514,0.4306706,83,0.0
63,rural,Kampong Cham,0.2247765,0.03642292,0.14756337,0.30198964,0.094508305,0.045411397,-0.0017595586,0.19077617,91,4.395604133605957
64,rural,Kampong Cham,0.21658616,0.03844678,0.13508262,0.29808968,0.10708535,0.04786768,0.0056103957,0.2085603,69,0.0
65,rural,Kampong Chhnang,0.3779343,0.0642183,0.24244553,0.5134231,0.27073553,0.088058084,0.084949225,0.45652187,71,0.0
66,rural,Kampong Chhnang,0.37834036,0.024678387,0.32627353,0.43040723,0.31715894,0.04906906,0.21363229,0.4206856,79,0.0
67,rural,Kampong Chhnang,0.35323384,0.035113033,0.27879754,0.42767015,0.2968491,0.054706678,0.18087612,0.41282207,71,5.633801221847534
68,rural,Kampong Chhnang,0.32262385,0.030335747,0.258621,0.38662666,0.22289157,0.05622736,0.10426221,0.34152094,83,0.0
69,rural,Kampong Chhnang,0.46476966,0.036013212,0.38878843,0.5407509,0.4193767,0.054784525,0.30379146,0.53496194,82,0.0
70,urban,Kampong Chhnang,0.14756945,0.02807168,0.08773608,0.20740281,0.020833334,0.016957106,-0.0153098805,0.05697655,64,0.0
71,urban,Kampong Chhnang,0.3089431,0.060241263,0.18054189,0.4373443,0.25406507,0.07469769,0.0948507,0.4132794,82,0.0
72,urban,Kampong Chhnang,0.013626834,0.0064594485,-0.00022730506,0.027480975,0.0,,,,57,7.01754093170166
73,urban,Kampong Chhnang,0.114583336,0.024300389,0.062788285,0.16637838,0.020833334,0.021474509,-0.024938498,0.066605166,64,0.0
74,urban,Kampong Chhnang,0.13230994,0.02594813,0.077002816,0.18761708,0.0,,,,76,0.0
75,urban,Kampong Chhnang,0.043055557,0.012931742,0.015492201,0.07061891,0.0,,,,80,0.0
76,urban,Kampong Chhnang,0.14888889,0.03215554,0.08035098,0.2174268,0.031111112,0.030305907,-0.0334844,0.09570663,75,0.0
77,urban,Kampong Chhnang,0.13480392,0.017915096,0.09610071,0.17350714,0.0,,,,75,9.333330392837524
78,rural,Kampong Chhnang,0.30555555,0.035533004,0.23058748,0.38052365,0.1887255,0.059146047,0.063938245,0.31351274,68,0.0
79,rural,Kampong Chhnang,0.41548467,0.048252124,0.31368157,0.51728773,0.3315603,0.07187174,0.17992419,0.48319644,94,0.0
80,rural,Kampong Chhnang,0.33813444,0.04104716,0.25111836,0.42515054,0.22290811,0.06873353,0.07719954,0.36861667,81,0.0
81,rural,Kampong Chhnang,0.27856025,0.025787562,0.22415325,0.33296725,0.22691706,0.0412405,0.13990723,0.3139269,71,0.0
82,rural,Kampong Chhnang,0.1931217,0.033955336,0.1211396,0.2651038,0.09700177,0.044235647,0.00322638,0.19077715,63,0.0
83,rural,Kampong Chhnang,0.30709878,0.04694632,0.20757702,0.40662053,0.21373458,0.063129835,0.07990531,0.34756386,72,0.0
84,rural,Kampong Chhnang,0.2849003,0.038704153,0.20324168,0.3665589,0.21367522,0.054796454,0.09806481,0.32928562,78,0.0
85,rural,Kampong Chhnang,0.32098767,0.034326375,0.24856535,0.39340997,0.23368607,0.05719492,0.113015346,0.3543568,63,0.0
86,rural,Kampong Chhnang,0.28142077,0.02976623,0.21831918,0.34452236,0.19307832,0.0511947,0.08455041,0.30160624,61,0.0
87,rural,Kampong Chhnang,0.25,0.047504507,0.14874655,0.35125348,0.16025642,0.063432865,0.025052458,0.29546037,58,10.34482717514038
88,rural,Kampong Chhnang,0.18325041,0.040171634,0.09809035,0.26841047,0.05804312,0.049933463,-0.0478111,0.16389734,71,5.633801221847534
89,rural,Kampong Chhnang,0.21041667,0.027369617,0.15267183,0.2681615,0.056944445,0.03046613,-0.0073334686,0.12122236,80,0.0
90,rural,Kampong Chhnang,0.24643876,0.044761367,0.15200053,0.340877,0.14387465,0.05998162,0.017324487,0.2704248,78,0.0
91,rural,Kampong Chhnang,0.4018265,0.03276668,0.33269483,0.47095814,0.33789957,0.054602176,0.22269903,0.4531001,73,0.0
92,rural,Kampong Chhnang,0.25925925,0.03495645,0.1855076,0.33301094,0.17713366,0.05147275,0.068535656,0.28573167,69,0.0
93,rural,Kampong Chhnang,0.13215488,0.030250225,0.068332486,0.19597729,0.035353538,0.03414705,-0.036690444,0.10739752,66,0.0
