clust_no,mpi
281,0.0
282,0.016877638
283,0.10521886
284,0.36711714
285,0.0
286,0.07539683
287,0.23846154
288,0.29353234
289,0.21505378
290,0.0
291,0.08712121
292,0.1457195
293,0.20977013
294,0.1425926
295,0.051282052
296,0.11041667
297,0.40155947
298,0.23287672
299,0.30734769
300,0.2983871
301,0.45014247
302,0.06111111
303,0.11982571
304,0.22063492
305,0.15806879
306,0.55626786
307,0.19658121
308,0.05399061
309,0.47282612
310,0.32911393
311,0.10305958
312,0.2777778
313,0.19604702
314,0.10562415
315,0.0
316,0.13304093
317,0.30628657
318,0.21794872
319,0.26515153
320,0.0
321,0.0
322,0.014141414
323,0.03508772
324,0.033333335
325,0.27361113
326,0.2741546
327,0.33024693
328,0.28310505
329,0.17105263
330,0.23239438
331,0.4902264
332,0.38761178
333,0.37064677
334,0.3452381
335,0.47376546
336,0.44017097
337,0.4725344
338,0.04236111
339,0.16324787
340,0.16529493
341,0.093333334
342,0.0
343,0.0
344,0.0
345,0.058080807
346,0.015873017
347,0.0
348,0.0
349,0.0
350,0.0
351,0.025252527
352,0.0
353,0.10567633
354,0.17027417
355,0.53211015
356,0.3481013
357,0.32435468
358,0.28224778
359,0.40981242
360,0.18381345
361,0.056233063
362,0.14222223
363,0.12393163
364,0.078431375
365,0.05181024
366,0.1473064
367,0.1891892
368,0.1456229
369,0.2940171
370,0.16666667
371,0.14197531
372,0.27419356
373,0.18165785
374,0.1577061
375,0.124497995
376,0.060910318
377,0.32799146
378,0.2952675
379,0.099415205
380,0.15522876
381,0.0
382,0.051146384
383,0.0
384,0.01754386
385,0.0
386,0.0
387,0.12222222
388,0.16666667
389,0.06111111
390,0.00952381
391,0.030651342
392,0.14747475
393,0.28555557
394,0.10826211
395,0.21975309
396,0.17753623
397,0.19653526
398,0.15049227
399,0.11181435
400,0.10952381
401,0.12654321
402,0.20319636
403,0.16858238
404,0.04385965
405,0.025641026
406,0.011111111
407,0.11680912
408,0.035555556
409,0.040334858
410,0.10641628
411,0.035353538
412,0.0
413,0.027131783
414,0.0
415,0.18476905
416,0.06358769
417,0.27185187
418,0.10732324
419,0.022222225
420,0.08093279
421,0.1780822
422,0.04145937
423,0.122685194
424,0.4150327
425,0.14135803
426,0.1400626
427,0.0375
428,0.252073
429,0.24316941
430,0.19791667
431,0.3973064
432,0.19819821
433,0.27230048
434,0.043117747
435,0.27068558
436,0.3851852
437,0.31611896
438,0.22067901
439,0.37262875
440,0.109375
441,0.06451613
442,0.09333334
443,0.13271606
444,0.0
445,0.299458
446,0.17142858
447,0.4324074
448,0.0058479533
449,0.34609613
450,0.41875002
451,0.29710147
452,0.0
453,0.38049096
454,0.1395664
455,0.0
456,0.11197917
457,0.025641026
458,0.062393162
459,0.017676769
460,0.11111112
461,0.04489338
462,0.086419754
463,0.017580872
464,0.025396826
465,0.0
466,0.2968254
467,0.31481484
468,0.22712418
469,0.11033951
470,0.0
471,0.17832649
472,0.30452678
473,0.07568438
474,0.072822824
475,0.07083333
476,0.101265825
477,0.13699496
478,0.06679895
479,0.11267606
480,0.18809524
481,0.37184346
482,0.09282701
483,0.11813538
484,0.0
485,0.19402985
486,0.09950249
487,0.0925926
488,0.08703704
489,0.013513514
490,0.37724018
491,0.120614044
492,0.10141094
493,0.068627454
494,0.17158933
495,0.14285715
496,0.21180557
497,0.22574957
498,0.33713853
499,0.13760684
500,0.21283256
501,0.2134503
502,0.016908213
503,0.1867955
504,0.30601093
505,0.07671958
506,0.18157183
507,0.10185186
508,0.045383412
509,0.3413655
510,0.0
511,0.0057471264
512,0.0
513,0.0
514,0.13615024
515,0.27911648
516,0.03527337
517,0.26556778
518,0.23548922
519,0.022222223
520,0.06666667
521,0.13657407
522,0.015151516
523,0.15104167
524,0.33333334
525,0.07912459
526,0.0
527,0.21468927
528,0.09664352
529,0.026455028
530,0.0
531,0.11752137
532,0.0
533,0.012048193
534,0.0
535,0.01754386
536,0.0
537,0.004830918
538,0.10569106
539,0.116605625
540,0.3588889
541,0.09967321
542,0.103249475
543,0.11454047
544,0.20619659
545,0.12619048
546,0.06715507
547,0.035460994
548,0.093474425
549,0.4103079
550,0.2777778
551,0.3500882
552,0.2006173
553,0.3707483
554,0.3544686
555,0.3065844
556,0.080000006
557,0.28055558
558,0.39794686
559,0.34477127
560,0.19850948
561,0.31200898
562,0.0
563,0.087201126
564,0.0
565,0.0
566,0.25027505
567,0.29403794
568,0.38055557
569,0.27144867
570,0.46423137
571,0.44444448
572,0.0
573,0.068475455
574,0.0
575,0.024242427
576,0.05687831
577,0.10025543
578,0.53472227
579,0.23466003
580,0.4558081
581,0.033816427
582,0.16441442
583,0.1803841
584,0.53151715
585,0.39169475
586,0.48740745
587,0.072493225
588,0.0
589,0.06973996
590,0.3936966
591,0.47222227
592,0.0
593,0.04390681
594,0.0
595,0.0
596,0.08099063
597,0.021909233
598,0.18034188
599,0.18069585
600,0.0
601,0.26404497
602,0.38230997
603,0.18073137
604,0.39455786
605,0.5439154
606,0.29712862
607,0.39351857
608,0.07377049
609,0.34615386
610,0.2987805
611,0.7183719
