clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
42,0.17440225,0.06207078,0.04210152,0.306703
43,0.24074075,0.05865543,0.11571965,0.36576185
44,0.15217392,0.05282304,0.040727038,0.2636208
45,0.2888889,0.06624925,0.14679839,0.4309794
46,0.115127176,0.05969468,-0.011419893,0.24167424
47,0.25757575,0.051378198,0.14917724,0.36597428
48,0.16209151,0.05636048,0.04196199,0.28222102
49,0.36805558,0.08784874,0.18182458,0.5542866
50,0.3402062,0.061010312,0.2101658,0.4702466
51,0.0651341,0.046889942,-0.03480944,0.16507764
52,0.0,,,
53,0.3397933,0.066946924,0.19854763,0.48103896
54,0.0,,,
55,0.13432837,0.05632624,0.014922061,0.25373465
56,0.1857639,0.08980273,-0.0046093697,0.37613717
57,0.13461539,0.04723562,0.033935044,0.23529573
58,0.056603774,0.037696075,-0.023743507,0.13695106
59,0.026143791,0.026877752,-0.033013742,0.085301325
60,0.34062853,0.08192413,0.16695713,0.5142999
61,0.113553114,0.05178877,0.0042883633,0.22281787
62,0.31057563,0.06172632,0.18034449,0.4408068
63,0.10855684,0.04777138,0.007286034,0.20982763
64,0.10708535,0.04786768,0.0056103957,0.2085603
65,0.27073553,0.088058084,0.084949225,0.45652187
66,0.34528834,0.04780881,0.24442056,0.4461561
67,0.31011608,0.057074655,0.18912323,0.43110895
68,0.2309237,0.05873376,0.1070063,0.3548411
69,0.45325208,0.05751771,0.3319003,0.57460386
70,0.02170139,0.017285263,-0.015141275,0.058544055
71,0.28523037,0.08057689,0.11348481,0.45697594
72,0.0,,,
73,0.0234375,0.024158822,-0.02805581,0.07493081
74,0.02631579,0.02615248,-0.029426903,0.08205848
75,0.0,,,
76,0.053333335,0.03593938,-0.023269642,0.12993631
77,0.0,,,
78,0.19281046,0.05992558,0.06637854,0.3192424
79,0.36820334,0.07396141,0.21215841,0.5242483
80,0.25788754,0.0715238,0.106263846,0.4095112
81,0.24334899,0.0444052,0.14966221,0.33703578
82,0.10229277,0.046841525,0.002993176,0.20159237
83,0.25231484,0.060698844,0.12363903,0.38099062
84,0.24358974,0.05914624,0.118802086,0.36837742
85,0.24867725,0.059651993,0.12282255,0.37453195
86,0.20127505,0.05314097,0.08862122,0.31392887
87,0.17414531,0.06968257,0.025620436,0.3226702
88,0.058872305,0.04997644,-0.047073014,0.16481763
89,0.16319445,0.04631258,0.06548344,0.26090544
90,0.1474359,0.06104889,0.018634003,0.27623782
91,0.34627095,0.055484302,0.2292093,0.4633326
92,0.18196458,0.05302266,0.070096545,0.29383263
93,0.035353538,0.03414705,-0.036690444,0.10739752
94,0.14236112,0.054797266,0.026196098,0.25852615
95,0.41324204,0.056034006,0.29380837,0.5326757
96,0.38888893,0.07379974,0.2315885,0.5461893
97,0.29814816,0.062217604,0.16470467,0.43159163
98,0.1688889,0.054990333,0.052869435,0.28490835
99,0.3003663,0.07044084,0.15174912,0.44898352
100,0.275,0.06251259,0.14092384,0.40907618
101,0.032163747,0.032655947,-0.037440762,0.101768255
102,0.0,,,
103,0.01984127,0.019995145,-0.022777371,0.062459912
104,0.007490637,0.007866756,-0.009381877,0.02436315
105,0.0,,,
106,0.011111111,0.011505219,-0.013411683,0.035633907
107,0.0,,,
108,0.17299579,0.049266614,0.06855523,0.27743635
109,0.24313726,0.054628238,0.12788175,0.35839278
110,0.21097884,0.06242834,0.077083364,0.34487432
111,0.08740741,0.04632277,-0.01194505,0.18675987
112,0.32971016,0.05708966,0.2092615,0.4501588
113,0.053398058,0.031363342,-0.012772808,0.11956893
114,0.28478965,0.061321523,0.15541255,0.41416675
115,0.19384058,0.046903744,0.09488234,0.29279882
116,0.076754384,0.042298876,-0.013403536,0.16691232
117,0.14468865,0.046966273,0.045124594,0.2442527
118,0.19973545,0.053910006,0.08599528,0.31347564
119,0.29832572,0.055899285,0.17982453,0.41682693
120,0.03256705,0.0228336,-0.015607636,0.08074174
121,0.07336182,0.040561717,-0.012625176,0.15934883
122,0.045787547,0.031696543,-0.021086313,0.11266141
123,0.15189874,0.052505877,0.04059125,0.2632062
124,0.20643276,0.05467826,0.0910717,0.3217938
125,0.4266118,0.050159927,0.3202775,0.5329461
126,0.25156057,0.0670729,0.10937236,0.39374876
127,0.22857143,0.05337416,0.1159618,0.34118107
128,0.031914894,0.022668537,-0.015911538,0.07974133
129,0.30486113,0.08581921,0.12379843,0.48592386
130,0.33585858,0.061907146,0.20462132,0.46709588
131,0.123931624,0.042908948,0.03340166,0.2144616
132,0.28938642,0.08298989,0.11009768,0.46867517
133,0.0,,,
134,0.103174604,0.058687326,-0.021236967,0.22758618
135,0.17938422,0.06315785,0.045495547,0.31327286
136,0.20370372,0.07508311,0.043667864,0.36373958
137,0.47000003,0.030309713,0.4060521,0.53394794
138,0.504146,0.058492232,0.380148,0.62814397
