clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
573,0.068475455,0.045900922,-0.029360047,0.16631095
574,0.0,,,
575,0.024242427,0.025122313,-0.029639576,0.07812443
576,0.05687831,0.046719648,-0.04332537,0.15708199
577,0.10025543,0.041959535,0.011305187,0.18920568
578,0.53472227,0.034018982,0.46294847,0.60649604
579,0.23466003,0.068444125,0.08956498,0.3797551
580,0.4558081,0.06028158,0.326517,0.5850992
581,0.033816427,0.03346299,-0.038475968,0.10610882
582,0.16441442,0.059172675,0.038973954,0.28985488
583,0.1803841,0.046243303,0.08235267,0.2784155
584,0.53151715,0.045139235,0.43530512,0.6277291
585,0.39169475,0.045245465,0.29623514,0.48715433
586,0.48740745,0.06777477,0.34294894,0.631866
587,0.072493225,0.036807064,-0.005162893,0.15014935
588,0.0,,,
589,0.06973996,0.048082046,-0.033385772,0.17286569
590,0.3936966,0.05875008,0.26847374,0.5189194
591,0.47222227,0.103879936,0.25080743,0.69363713
592,0.0,,,
593,0.04390681,0.030982057,-0.02212988,0.1099435
594,0.0,,,
595,0.0,,,
596,0.08099063,0.043454975,-0.011631455,0.17361271
597,0.021909233,0.022204095,-0.025417676,0.069236144
598,0.18034188,0.0711723,0.026583489,0.33410028
599,0.18069585,0.054944012,0.06421975,0.29717195
600,0.0,,,
601,0.26404497,0.07356358,0.10724789,0.42084202
602,0.38230997,0.05804735,0.25925508,0.50536484
603,0.18073137,0.05538994,0.06330994,0.2981528
604,0.39455786,0.06997542,0.24692261,0.5421931
605,0.5439154,0.06869078,0.3989905,0.68884027
606,0.29712862,0.057133168,0.17658815,0.41766906
607,0.39351857,0.079634465,0.22550452,0.56153256
608,0.07377049,0.06706047,-0.068391345,0.21593234
609,0.34615386,0.06750511,0.20373054,0.4885772
610,0.2987805,0.06378211,0.16198148,0.4355795
611,0.7183719,0.036068074,0.64149463,0.7952492
